Generated data
------------------------
Period	Type	Category	Account	Cost Centre	Description	Amount
3/12/1820	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-97811.71
3/1/1819	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-12354.13
3/2/1819	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-43304.8
3/3/1819	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-66830.15
3/4/1819	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-65791.55
3/5/1819	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-98053.86
3/6/1819	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-13476.65
3/7/1819	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-8530.67
3/8/1819	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-27681.98
3/9/1819	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-64114.13
3/10/1819	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-36221.46
3/11/1819	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-23409.08
3/12/1819	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-24690.62
3/1/1818	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-26412.27
3/2/1818	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-38129.75
3/3/1818	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-77515.3
3/4/1818	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-43543.64
3/5/1818	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-25663.41
3/6/1818	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-12660.53
3/7/1818	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-52549.69
3/8/1818	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-17500.88
3/9/1818	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-44752.62
3/10/1818	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-89908.13
3/11/1818	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-80334.59
3/12/1818	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-94641.69
3/1/1817	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-35368.89
3/2/1817	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-43267.73
3/3/1817	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-85155.86
3/4/1817	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-77810.3
3/5/1817	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-91920.45
3/6/1817	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-4046.74
3/7/1817	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-14186.36
3/8/1817	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-84469.48
3/9/1817	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-68722.28
3/10/1817	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-99573.62
3/11/1817	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-81108.09
3/12/1817	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-92481.67
3/1/1816	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-85904.33
3/2/1816	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-57241.35
3/3/1816	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-88357.71
3/4/1816	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-44735.22
3/5/1816	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-70556.58
3/6/1816	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-99237.66
3/7/1816	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-2800.36
3/8/1816	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-60073.97
3/9/1816	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-11992.62
3/10/1816	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-19933.83
3/11/1816	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-51680.08
3/12/1816	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-475.08
3/1/1815	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-5451.32
3/2/1815	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-31291.61
3/3/1815	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-137.77
3/4/1815	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-28873.99
3/5/1815	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-13292.53
3/6/1815	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-77090.03
3/7/1815	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-98516.46
3/8/1815	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-11180.26
3/9/1815	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-59766.66
3/10/1815	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-52074.86
3/11/1815	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-47820.8
3/12/1815	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-92553.02
3/1/1814	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-29290.52
3/2/1814	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-7442.15
3/3/1814	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-61373.97
3/4/1814	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-12925.99
3/5/1814	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-23326.15
3/6/1814	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-78975.28
3/7/1814	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-93553.5
3/8/1814	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-21534.25
3/9/1814	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-54438.71
3/10/1814	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-21420.71
3/11/1814	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-33523.4
3/12/1814	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-45859.3
3/1/1813	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-25834.36
3/2/1813	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-88937.77
3/3/1813	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-8858.93
3/4/1813	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-46588.09
3/5/1813	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-24081.84
3/6/1813	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-16895.83
3/7/1813	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-99234.05
3/8/1813	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-57249.47
3/9/1813	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-25349.84
3/10/1813	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-34511.61
3/11/1813	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-30469.55
3/12/1813	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-59516.78
3/1/1812	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-59189.92
3/2/1812	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-44263.64
3/3/1812	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-68991.28
3/4/1812	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-52252.14
3/5/1812	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-73985.64
3/6/1812	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-97318.54
3/7/1812	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-55714.2
3/8/1812	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-21971.01
3/9/1812	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-66814.77
3/10/1812	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-96192.72
3/11/1812	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-58257.52
3/12/1812	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-39272.59
3/1/1811	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-10983.81
3/2/1811	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-33261.79
3/3/1811	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-34610.92
3/4/1811	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-77552.48
3/5/1811	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-63124.12
3/6/1811	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-23780.47
3/7/1811	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-22410.83
3/8/1811	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-74638.68
3/9/1811	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-55835.18
3/10/1811	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-24505.69
3/11/1811	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-53527.6
3/12/1811	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-27892.49
3/1/1810	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-93217.91
3/2/1810	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-27143.45
3/3/1810	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-86879.53
3/4/1810	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-16969.91
3/5/1810	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-97349.35
3/6/1810	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-61269.58
3/7/1810	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-49788.9
3/8/1810	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-62514.7
3/9/1810	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-35844.17
3/10/1810	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-40056.6
3/11/1810	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-83969.38
3/12/1810	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-210.54
3/1/1809	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-87570.09
3/2/1809	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-5389.8
3/3/1809	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-57161.65
3/4/1809	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-49704.64
3/5/1809	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-61346.67
3/6/1809	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-71203.99
3/7/1809	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-56963.34
3/8/1809	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-68472.29
3/9/1809	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-85094.77
3/10/1809	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-41756.42
3/11/1809	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-8213.63
3/12/1809	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-31113.28
3/1/1808	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-38551.16
3/2/1808	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-8045.41
3/3/1808	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-54077.27
3/4/1808	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-20667.95
3/5/1808	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-88203.26
3/6/1808	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-83658.23
3/7/1808	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-93612.52
3/8/1808	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-45305.93
3/9/1808	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-78564.07
3/10/1808	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-67894.13
3/11/1808	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-11864.57
3/12/1808	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-23565.75
3/1/1807	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-67851.0
3/2/1807	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-834.19
3/3/1807	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-22469.25
3/4/1807	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-30353.81
3/5/1807	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-34719.62
3/6/1807	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-56894.66
3/7/1807	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-83642.9
3/8/1807	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-17246.83
3/9/1807	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-30773.59
3/10/1807	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-15986.47
3/11/1807	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-149.56
3/12/1807	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-30012.66
3/1/1806	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-74602.58
3/2/1806	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-50809.57
3/3/1806	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-57100.51
3/4/1806	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-18795.43
3/5/1806	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-25126.22
3/6/1806	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-89627.47
3/7/1806	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-42120.37
3/8/1806	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-17086.85
3/9/1806	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-92188.04
3/10/1806	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-60994.27
3/11/1806	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-26551.73
3/12/1806	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-57190.24
3/1/1805	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-86101.83
3/2/1805	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-68264.67
3/3/1805	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-32500.01
3/4/1805	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-24486.03
3/5/1805	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-39018.46
3/6/1805	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-2986.6
3/7/1805	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-48992.84
3/8/1805	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-71040.08
3/9/1805	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-62958.18
3/10/1805	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-62389.41
3/11/1805	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-79924.63
3/12/1805	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-24788.85
3/1/1804	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-16334.21
3/2/1804	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-58749.94
3/3/1804	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-2763.03
3/4/1804	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-83508.13
3/5/1804	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-36726.69
3/6/1804	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-62072.3
3/7/1804	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-55636.61
3/8/1804	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-26570.45
3/9/1804	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-86501.25
3/10/1804	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-52453.69
3/11/1804	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-86248.85
3/12/1804	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-38691.3
3/1/1803	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-80955.62
3/2/1803	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-23060.25
3/3/1803	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-93401.97
3/4/1803	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-33113.59
3/5/1803	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-2974.6
3/6/1803	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-14563.05
3/7/1803	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-6059.55
3/8/1803	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-28414.99
3/9/1803	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-14220.16
3/10/1803	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-82845.82
3/11/1803	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-64408.75
3/12/1803	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-3940.08
3/1/1802	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-22274.46
3/2/1802	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-6046.46
3/3/1802	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-13330.35
3/4/1802	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-32581.28
3/5/1802	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-89095.84
3/6/1802	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-5677.31
3/7/1802	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-94848.3
3/8/1802	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-47327.74
3/9/1802	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-5201.1
3/10/1802	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-8880.84
3/11/1802	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-50257.91
3/12/1802	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-46987.06
3/1/1801	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-97622.89
3/2/1801	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-69218.77
3/3/1801	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-81302.62
3/4/1801	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-61203.3
3/5/1801	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-85469.59
3/6/1801	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-52752.99
3/7/1801	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-72457.63
3/8/1801	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-50125.81
3/9/1801	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-69861.28
3/10/1801	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-4556.04
3/11/1801	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-34086.13
3/12/1801	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-85630.45
3/1/1800	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-56502.57
3/2/1800	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-96583.47
3/3/1800	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-63662.03
3/4/1800	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-54714.49
3/5/1800	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-33046.54
3/6/1800	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-83194.08
3/7/1800	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-8033.02
3/8/1800	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-42802.88
3/9/1800	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-81275.07
3/10/1800	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-16081.41
3/11/1800	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-24253.14
3/12/1800	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-29720.38
3/1/1799	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-92558.29
3/2/1799	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-95620.62
3/3/1799	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-48478.47
3/4/1799	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-20422.8
3/5/1799	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-63762.0
3/6/1799	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-30240.77
3/7/1799	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-71542.14
3/8/1799	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-33971.93
3/9/1799	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-11886.9
3/10/1799	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-13411.25
3/11/1799	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-17565.17
3/12/1799	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-61160.96
3/1/1798	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-47017.95
3/2/1798	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-62209.94
3/3/1798	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-75317.65
3/4/1798	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-5753.27
3/5/1798	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-62786.55
3/6/1798	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-42817.12
3/7/1798	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-26291.62
3/8/1798	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-8494.34
3/9/1798	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-84957.06
3/10/1798	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-25581.33
3/11/1798	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-82949.83
3/12/1798	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-24173.27
3/1/1797	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-32568.64
3/2/1797	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-31925.35
3/3/1797	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-77676.42
3/4/1797	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-97996.26
3/5/1797	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-94066.91
3/6/1797	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-40443.36
3/7/1797	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-71488.24
3/8/1797	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-56199.85
3/9/1797	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-17996.74
3/10/1797	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-30433.75
3/11/1797	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-95323.25
3/12/1797	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-8928.98
3/1/1796	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-42180.17
3/2/1796	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-46569.54
3/3/1796	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-2994.48
3/4/1796	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-70615.71
3/5/1796	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-97828.65
3/6/1796	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-11380.68
3/7/1796	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-94932.56
3/8/1796	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-81359.22
3/9/1796	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-15100.98
3/10/1796	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-60996.35
3/11/1796	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-59821.02
3/12/1796	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-84799.02
3/1/1795	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-99803.67
3/2/1795	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-72278.41
3/3/1795	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-52153.33
3/4/1795	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-47563.17
3/5/1795	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-549.27
3/6/1795	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-19374.53
3/7/1795	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-83166.45
3/8/1795	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-2719.45
3/9/1795	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-10171.23
3/10/1795	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-99690.94
3/11/1795	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-11709.81
3/12/1795	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-11100.26
3/1/1794	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-56819.67
3/2/1794	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-9492.4
3/3/1794	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-95873.47
3/4/1794	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-31329.95
3/5/1794	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-31799.82
3/6/1794	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-3416.61
3/7/1794	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-69840.61
3/8/1794	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-99000.41
3/9/1794	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-41330.5
3/10/1794	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-63644.71
3/11/1794	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-49062.27
3/12/1794	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-90593.59
3/1/1793	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-77376.89
3/2/1793	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-54425.94
3/3/1793	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-64171.58
3/4/1793	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-92887.77
3/5/1793	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-29083.23
3/6/1793	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-27874.97
3/7/1793	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-64619.23
3/8/1793	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-26475.28
3/9/1793	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-19966.23
3/10/1793	Budget	Income	Sale of products	Sales	Sale of products monthly transactions	-73843.44
3/11/1793	Budget	Income	Rendering of services	Sales	Rendering of services monthly transactions	-70144.5
